VC,Size,pSG,ClstrComp,Order,Family,Genus,Phylum,Class
477_0,59,0,refseq,Unassigned,Autographiviridae,Unclassified,Uroviricota,Caudoviricetes
478_0,6,0,refseq,Unassigned,Autographiviridae,Eracentumvirus,Uroviricota,Caudoviricetes
47_0,13,0,refseq,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
481_0,19,0,refseq,Unassigned,Drexlerviridae,Unclassified,Uroviricota,Caudoviricetes
482_0,62,0,refseq,Unassigned,Drexlerviridae,Unclassified,Uroviricota,Caudoviricetes
484_0,5,0,refseq,Unassigned,Autographiviridae,Aarhusvirus,Uroviricota,Caudoviricetes
488_0,69,0,refseq,Unassigned,Unassigned,Skatevirus,Uroviricota,Caudoviricetes
489_0,4,0,refseq,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
48_0,2,0,refseq,Unassigned,Unassigned,Diegovirus,Uroviricota,Caudoviricetes
490_0,4,0.75,both,Unassigned,Mesyanzhinovviridae,Keylargovirus,Uroviricota,Caudoviricetes
491_0,8,0,refseq,Unassigned,Unassigned,Nipunavirus,Uroviricota,Caudoviricetes
492_0,9,0,refseq,Unassigned,Mesyanzhinovviridae,Unclassified,Uroviricota,Caudoviricetes
493_0,5,0,refseq,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
494_0,4,0,refseq,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
495_0,2,0,refseq,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
496_0,4,0,refseq,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
497_0,2,0,refseq,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
498_0,2,1,SG,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
499_0,54,0,refseq,Unassigned,Unassigned,Unclassified,Uroviricota,Caudoviricetes
49_0,48,0,refseq,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
4_0,7,0,refseq,Unassigned,Peduoviridae,Baylorvirus,Uroviricota,Caudoviricetes
500_0,14,0,refseq,Unassigned,Unassigned,Audreyjarvisvirus,Uroviricota,Caudoviricetes
501_0,3,0,refseq,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
501_1,3,0,refseq,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
501_10,2,0,refseq,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
501_2,3,0,refseq,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
501_5,2,0,refseq,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
501_8,2,0,refseq,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
502_0,2,1,SG,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
503_0,4,0,refseq,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
504_0,2,0,refseq,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
505_0,17,0,refseq,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
506_0,19,0,refseq,Unassigned,Autographiviridae,Unclassified,Uroviricota,Caudoviricetes
507_0,15,0.13333333333333333,both,Unassigned,Autographiviridae,Unclassified,Uroviricota,Caudoviricetes
508_0,4,0,refseq,Unassigned,Autographiviridae,Unclassified,Uroviricota,Caudoviricetes
50_0,10,0,refseq,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
510_0,3,0,refseq,Unassigned,Autographiviridae,Lauvirus,Uroviricota,Caudoviricetes
511_0,3,0,refseq,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
512_0,18,0,refseq,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
513_0,3,1,SG,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
514_0,2,0,refseq,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
515_0,14,0.7857142857142857,both,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
516_0,4,1,SG,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
517_0,4,0,refseq,Unassigned,Unassigned,Aurunvirus,Uroviricota,Caudoviricetes
519_0,3,0,refseq,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
520_0,8,0,refseq,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
520_1,8,0,refseq,Unassigned,Unassigned,Moabitevirus,Uroviricota,Caudoviricetes
520_2,2,0,refseq,Unassigned,Unassigned,Iapetusvirus,Uroviricota,Caudoviricetes
521_0,2,0,refseq,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
521_2,11,0,refseq,Unassigned,Unassigned,Agricanvirus,Uroviricota,Caudoviricetes
522_0,2,0,refseq,Unassigned,Straboviridae,Kanagawavirus,Uroviricota,Caudoviricetes
522_1,5,0,refseq,Unassigned,Straboviridae,Kanagawavirus,Uroviricota,Caudoviricetes
522_3,2,0,refseq,Unassigned,Straboviridae,Tegunavirus,Uroviricota,Caudoviricetes
523_0,40,0,refseq,Unassigned,Straboviridae,Jiaodavirus,Uroviricota,Caudoviricetes
526_0,2,0,refseq,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
528_0,39,0,refseq,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
528_1,41,0,refseq,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
52_0,9,0,refseq,Unassigned,Unassigned,Muvirus,Uroviricota,Caudoviricetes
532_0,10,0.2,both,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
533_0,25,0,refseq,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
534_0,3,0,refseq,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
535_0,16,0,refseq,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
536_0,3,1,SG,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
537_0,3,0,refseq,Unassigned,Demerecviridae,Jesfedecavirus,Uroviricota,Caudoviricetes
537_1,31,0,refseq,Unassigned,Demerecviridae,Unclassified,Uroviricota,Caudoviricetes
538_0,6,0,refseq,Unassigned,Demerecviridae,Pogseptimavirus,Uroviricota,Caudoviricetes
539_0,2,0,refseq,Unassigned,Demerecviridae,Shenzhenvirus,Uroviricota,Caudoviricetes
541_0,2,0,refseq,Crassvirales,Suoliviridae,Buchavirus,Uroviricota,Caudoviricetes
541_1,3,0,refseq,Crassvirales,Suoliviridae,Buchavirus,Uroviricota,Caudoviricetes
541_2,2,0,refseq,Crassvirales,Suoliviridae,Unclassified,Uroviricota,Caudoviricetes
541_3,5,0,refseq,Crassvirales,Suoliviridae,Unclassified,Uroviricota,Caudoviricetes
541_5,2,0,refseq,Crassvirales,Suoliviridae,Aurodevirus,Uroviricota,Caudoviricetes
544_0,4,1,SG,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
545_0,2,1,SG,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
546_0,2,1,SG,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
547_0,2,1,SG,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
549_0,2,0,refseq,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
549_1,8,0,refseq,Unassigned,Unassigned,Menderavirus,Uroviricota,Caudoviricetes
54_0,82,0,refseq,Tubulavirales,Inoviridae,Habenivirus,Hofneiviricota,Faserviricetes
550_0,8,0,refseq,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
551_0,32,0,refseq,Unassigned,Unassigned,Rosebushvirus,Uroviricota,Caudoviricetes
552_0,41,0,refseq,Unassigned,Unassigned,Pipefishvirus,Uroviricota,Caudoviricetes
553_0,3,0,refseq,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
554_0,15,0,refseq,Unassigned,Unassigned,Sourvirus,Uroviricota,Caudoviricetes
556_0,20,0,refseq,Unassigned,Unassigned,Soupsvirus,Uroviricota,Caudoviricetes
557_0,6,0,refseq,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
558_0,33,0,refseq,Unassigned,Unassigned,Veracruzvirus,Uroviricota,Caudoviricetes
559_0,75,0,refseq,Unassigned,Unassigned,Microwolfvirus,Uroviricota,Caudoviricetes
55_0,5,0,refseq,Tubulavirales,Inoviridae,Parhipatevirus,Hofneiviricota,Faserviricetes
560_0,16,0,refseq,Unassigned,Unassigned,Fromanvirus,Uroviricota,Caudoviricetes
561_0,109,0,refseq,Unassigned,Unassigned,Backyardiganvirus,Uroviricota,Caudoviricetes
564_0,6,0,refseq,Unassigned,Unassigned,Brujitavirus,Uroviricota,Caudoviricetes
565_0,44,0,refseq,Unassigned,Unassigned,Unclassified,Uroviricota,Caudoviricetes
566_0,47,0,refseq,Unassigned,Unassigned,Charlievirus,Uroviricota,Caudoviricetes
567_0,3,0,refseq,Unassigned,Unassigned,Luckytenvirus,Uroviricota,Caudoviricetes
567_1,5,0,refseq,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
569_0,2,0,refseq,Unassigned,Unassigned,Hnatkovirus,Uroviricota,Caudoviricetes
56_0,5,0,refseq,Tubulavirales,Inoviridae,Lophivirus,Hofneiviricota,Faserviricetes
570_0,3,0,refseq,Unassigned,Unassigned,Cheoctovirus,Uroviricota,Caudoviricetes
570_10,2,0,refseq,Unassigned,Unassigned,Cheoctovirus,Uroviricota,Caudoviricetes
570_17,2,0,refseq,Unassigned,Unassigned,Cheoctovirus,Uroviricota,Caudoviricetes
570_20,3,0,refseq,Unassigned,Unassigned,Cheoctovirus,Uroviricota,Caudoviricetes
570_21,2,0,refseq,Unassigned,Unassigned,Cheoctovirus,Uroviricota,Caudoviricetes
570_23,4,0,refseq,Unassigned,Unassigned,Cheoctovirus,Uroviricota,Caudoviricetes
570_24,10,0,refseq,Unassigned,Unassigned,Cheoctovirus,Uroviricota,Caudoviricetes
570_25,2,0,refseq,Unassigned,Unassigned,Cheoctovirus,Uroviricota,Caudoviricetes
570_28,6,0,refseq,Unassigned,Unassigned,Cheoctovirus,Uroviricota,Caudoviricetes
570_30,4,0,refseq,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
570_31,2,0,refseq,Unassigned,Unassigned,Cheoctovirus,Uroviricota,Caudoviricetes
570_34,3,0,refseq,Unassigned,Unassigned,Cheoctovirus,Uroviricota,Caudoviricetes
570_35,7,0,refseq,Unassigned,Unassigned,Cheoctovirus,Uroviricota,Caudoviricetes
570_40,2,0,refseq,Unassigned,Unassigned,Cheoctovirus,Uroviricota,Caudoviricetes
570_42,3,0,refseq,Unassigned,Unassigned,Cheoctovirus,Uroviricota,Caudoviricetes
570_53,3,0,refseq,Unassigned,Unassigned,Cheoctovirus,Uroviricota,Caudoviricetes
570_54,7,0,refseq,Unassigned,Unassigned,Cheoctovirus,Uroviricota,Caudoviricetes
570_71,2,0,refseq,Unassigned,Unassigned,Cheoctovirus,Uroviricota,Caudoviricetes
570_72,2,0,refseq,Unassigned,Unassigned,Cheoctovirus,Uroviricota,Caudoviricetes
570_74,4,0,refseq,Unassigned,Unassigned,Cheoctovirus,Uroviricota,Caudoviricetes
570_76,3,0,refseq,Unassigned,Unassigned,Cheoctovirus,Uroviricota,Caudoviricetes
570_80,2,0,refseq,Unassigned,Unassigned,Cheoctovirus,Uroviricota,Caudoviricetes
570_9,2,0,refseq,Unassigned,Unassigned,Cheoctovirus,Uroviricota,Caudoviricetes
570_90,5,0,refseq,Unassigned,Unassigned,Cheoctovirus,Uroviricota,Caudoviricetes
570_91,2,0,refseq,Unassigned,Unassigned,Cheoctovirus,Uroviricota,Caudoviricetes
571_0,2,0,refseq,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
572_0,2,0,refseq,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
573_0,25,0,refseq,Unassigned,Unassigned,Nymphadoravirus,Uroviricota,Caudoviricetes
573_1,5,0,refseq,Unassigned,Unassigned,Baxtervirus,Uroviricota,Caudoviricetes
574_0,14,0,refseq,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
575_0,6,0,refseq,Unassigned,Herelleviridae,Harbinvirus,Uroviricota,Caudoviricetes
576_0,20,0,refseq,Unassigned,Unassigned,Uetakevirus,Uroviricota,Caudoviricetes
577_0,4,0.25,both,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
578_0,3,0,refseq,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
579_0,3,1,SG,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
57_0,7,0,refseq,Tubulavirales,Inoviridae,Restivirus,Hofneiviricota,Faserviricetes
580_0,9,0,refseq,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
581_0,9,0,refseq,Unassigned,Straboviridae,Schizotequatrovirus,Uroviricota,Caudoviricetes
581_1,2,0,refseq,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
581_2,6,0,refseq,Unassigned,Straboviridae,Schizotequatrovirus,Uroviricota,Caudoviricetes
582_0,2,0,refseq,Unassigned,Unassigned,Shirahamavirus,Uroviricota,Caudoviricetes
583_0,2,0,refseq,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
584_0,9,0,refseq,Unassigned,Unassigned,Teubervirus,Uroviricota,Caudoviricetes
585_0,3,0,refseq,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
587_0,2,1,SG,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
588_0,3,0,refseq,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
589_0,15,0,refseq,Unassigned,Unassigned,Cornellvirus,Uroviricota,Caudoviricetes
590_0,16,0,refseq,Unassigned,Unassigned,Unclassified,Uroviricota,Caudoviricetes
592_0,2,0,refseq,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
593_0,6,0,refseq,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
594_0,2,0,refseq,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
596_0,2,0,refseq,Unassigned,Unassigned,Omegavirus,Uroviricota,Caudoviricetes
596_1,3,0,refseq,Unassigned,Unassigned,Omegavirus,Uroviricota,Caudoviricetes
596_10,2,0,refseq,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
596_2,4,0,refseq,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
596_3,16,0,refseq,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
596_4,2,0,refseq,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
596_5,5,0,refseq,Unassigned,Unassigned,Omegavirus,Uroviricota,Caudoviricetes
5_0,28,0,refseq,Unassigned,Peduoviridae,Unclassified,Uroviricota,Caudoviricetes
601_0,12,0,refseq,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
602_0,16,0,refseq,Unassigned,Unassigned,Kostyavirus,Uroviricota,Caudoviricetes
602_1,4,0,refseq,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
602_2,17,0,refseq,Unassigned,Unassigned,Kostyavirus,Uroviricota,Caudoviricetes
602_4,2,0,refseq,Unassigned,Unassigned,Kostyavirus,Uroviricota,Caudoviricetes
602_5,2,0,refseq,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
602_6,22,0,refseq,Unassigned,Unassigned,Kostyavirus,Uroviricota,Caudoviricetes
602_7,28,0,refseq,Unassigned,Unassigned,Kostyavirus,Uroviricota,Caudoviricetes
602_8,19,0,refseq,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
603_0,4,0,refseq,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
606_0,21,0,refseq,Unassigned,Unassigned,Corndogvirus,Uroviricota,Caudoviricetes
607_0,2,0,refseq,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
607_4,12,0,refseq,Unassigned,Unassigned,Unclassified,Uroviricota,Caudoviricetes
608_0,2,0,refseq,Unassigned,Unassigned,Bixzunavirus,Uroviricota,Caudoviricetes
608_1,2,0,refseq,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
608_10,3,0,refseq,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
608_11,2,0,refseq,Unassigned,Unassigned,Bixzunavirus,Uroviricota,Caudoviricetes
608_13,8,0,refseq,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
608_2,2,0,refseq,Unassigned,Unassigned,Bixzunavirus,Uroviricota,Caudoviricetes
608_21,18,0,refseq,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
608_22,4,0,refseq,Unassigned,Unassigned,Bixzunavirus,Uroviricota,Caudoviricetes
608_27,3,0,refseq,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
608_35,4,0,refseq,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
608_37,2,0,refseq,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
608_38,3,0,refseq,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
608_42,2,0,refseq,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
608_46,2,0,refseq,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
608_47,3,0,refseq,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
608_48,8,0,refseq,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
608_49,15,0,refseq,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
608_6,2,0,refseq,Unassigned,Unassigned,Bixzunavirus,Uroviricota,Caudoviricetes
608_60,2,0,refseq,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
608_64,2,0,refseq,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
608_7,3,0,refseq,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
608_72,2,0,refseq,Unassigned,Unassigned,Bixzunavirus,Uroviricota,Caudoviricetes
608_77,3,0,refseq,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
608_8,2,0,refseq,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
608_81,3,0,refseq,Unassigned,Unassigned,Bixzunavirus,Uroviricota,Caudoviricetes
609_0,2,0,refseq,Unassigned,Unassigned,Myrnavirus,Uroviricota,Caudoviricetes
60_0,12,0,refseq,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
612_0,2,0,refseq,Unassigned,Unassigned,Gaiavirus,Uroviricota,Caudoviricetes
613_0,3,0,refseq,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
614_0,20,0,refseq,Unassigned,Unassigned,Unclassified,Uroviricota,Caudoviricetes
615_0,2,0,refseq,Unassigned,Unassigned,Barnyardvirus,Uroviricota,Caudoviricetes
616_0,8,0,refseq,Unassigned,Unassigned,Unclassified,Uroviricota,Caudoviricetes
617_0,8,0,refseq,Unassigned,Unassigned,Papyrusvirus,Uroviricota,Caudoviricetes
618_0,3,0,refseq,Unassigned,Unassigned,Patiencevirus,Uroviricota,Caudoviricetes
619_0,9,0,refseq,Unassigned,Unassigned,Terapinvirus,Uroviricota,Caudoviricetes
61_0,5,0,refseq,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
621_0,16,0,refseq,Unassigned,Unassigned,Lambovirus,Uroviricota,Caudoviricetes
622_0,2,0,refseq,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
623_0,6,0,refseq,Unassigned,Unassigned,Mapvirus,Uroviricota,Caudoviricetes
624_0,9,0,refseq,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
625_0,36,0,refseq,Unassigned,Drexlerviridae,Tunavirus,Uroviricota,Caudoviricetes
626_0,4,0,refseq,Unassigned,Drexlerviridae,Unclassified,Uroviricota,Caudoviricetes
627_0,6,0,refseq,Unassigned,Unassigned,Coetzeevirus,Uroviricota,Caudoviricetes
628_0,2,0,refseq,Unassigned,Unassigned,Heilongjiangvirus,Uroviricota,Caudoviricetes
629_0,2,0,refseq,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
62_0,4,0,refseq,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
631_0,4,0,refseq,Unassigned,Unassigned,Henunavirus,Uroviricota,Caudoviricetes
631_3,13,0,refseq,Unassigned,Unassigned,Mydovirus,Uroviricota,Caudoviricetes
631_5,2,0,refseq,Unassigned,Unassigned,Seunavirus,Uroviricota,Caudoviricetes
631_6,7,0,refseq,Unassigned,Unassigned,Seunavirus,Uroviricota,Caudoviricetes
633_0,31,0,refseq,Unassigned,Drexlerviridae,Tlsvirus,Uroviricota,Caudoviricetes
634_0,4,0,refseq,Unassigned,Drexlerviridae,Henuseptimavirus,Uroviricota,Caudoviricetes
634_1,3,0,refseq,Unassigned,Drexlerviridae,Changchunvirus,Uroviricota,Caudoviricetes
635_0,2,0,refseq,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
636_0,2,0,refseq,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
637_0,3,0,refseq,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
638_0,2,0,refseq,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
639_0,2,0,refseq,Tubulavirales,Inoviridae,Primolicivirus,Hofneiviricota,Faserviricetes
640_0,28,0,refseq,Unassigned,Straboviridae,Krischvirus,Uroviricota,Caudoviricetes
641_0,15,0,refseq,Unassigned,Casjensviridae,Unclassified,Uroviricota,Caudoviricetes
642_0,56,0,refseq,Unassigned,Casjensviridae,Unclassified,Uroviricota,Caudoviricetes
643_0,5,0,refseq,Unassigned,Casjensviridae,Unclassified,Uroviricota,Caudoviricetes
644_0,2,0,refseq,Unassigned,Casjensviridae,Fengtaivirus,Uroviricota,Caudoviricetes
645_0,2,0,refseq,Unassigned,Casjensviridae,Phobosvirus,Uroviricota,Caudoviricetes
646_0,10,0,refseq,Unassigned,Casjensviridae,Yonseivirus,Uroviricota,Caudoviricetes
647_0,8,0,refseq,Unassigned,Casjensviridae,Sharonstreetvirus,Uroviricota,Caudoviricetes
648_0,50,0,refseq,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
649_0,3,0,refseq,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
649_1,7,0,refseq,Unassigned,Straboviridae,Biquartavirus,Uroviricota,Caudoviricetes
649_2,10,0,refseq,Unassigned,Straboviridae,Tulanevirus,Uroviricota,Caudoviricetes
64_0,12,0,refseq,Tubulavirales,Inoviridae,Inovirus,Hofneiviricota,Faserviricetes
651_0,2,0,refseq,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
652_0,2,0,refseq,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
653_0,10,0,refseq,Kalamavirales,Tectiviridae,Alphatectivirus,Preplasmiviricota,Tectiliviricetes
654_0,2,0.5,both,Kalamavirales,Tectiviridae,Gammatectivirus,Preplasmiviricota,Tectiliviricetes
656_0,16,0,refseq,Unassigned,Unassigned,Enhodamvirus,Uroviricota,Caudoviricetes
657_0,5,0,refseq,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
659_0,2,1,SG,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
660_0,2,0,refseq,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
661_0,10,0,refseq,Unassigned,Unassigned,Jamesmcgillvirus,Uroviricota,Caudoviricetes
662_0,3,0,refseq,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
663_0,3,0,refseq,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
664_0,6,0.3333333333333333,both,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
665_0,15,0,refseq,Unassigned,Unassigned,Unclassified,Uroviricota,Caudoviricetes
667_0,8,0,refseq,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
668_0,27,0,refseq,Unassigned,Unassigned,Vegasvirus,Uroviricota,Caudoviricetes
66_0,2,0,refseq,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
671_0,2,0,refseq,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
672_0,22,0,refseq,Unassigned,Unassigned,Hollowayvirus,Uroviricota,Caudoviricetes
673_0,3,0,refseq,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
674_0,17,0,refseq,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
675_0,6,0,refseq,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
677_0,37,0,refseq,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
678_0,3,0,refseq,Unassigned,Unassigned,Lenusvirus,Uroviricota,Caudoviricetes
678_1,6,0,refseq,Unassigned,Unassigned,Unclassified,Uroviricota,Caudoviricetes
67_0,3,0,refseq,Unassigned,Unassigned,Dibbivirus,Uroviricota,Caudoviricetes
680_0,9,0,refseq,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
681_0,120,0,refseq,Unassigned,Unassigned,Jerseyvirus,Uroviricota,Caudoviricetes
681_1,31,0,refseq,Unassigned,Unassigned,Jerseyvirus,Uroviricota,Caudoviricetes
682_0,46,0,refseq,Unassigned,Unassigned,Kagunavirus,Uroviricota,Caudoviricetes
683_0,2,0,refseq,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
684_0,3,1,SG,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
685_0,7,0,refseq,Unassigned,Unassigned,Cequinquevirus,Uroviricota,Caudoviricetes
686_0,2,0.5,both,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
687_0,7,0,refseq,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
687_1,8,0,refseq,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
687_2,2,0,refseq,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
687_3,4,0,refseq,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
687_4,7,0,refseq,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
688_0,8,0.125,both,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
689_0,2,1,SG,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
68_0,2,0,refseq,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
690_0,4,0.5,both,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
691_0,5,0,refseq,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
692_0,5,0,refseq,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
693_0,8,0,refseq,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
694_0,29,0,refseq,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
695_0,11,0,refseq,Unassigned,Unassigned,Sherbrookevirus,Uroviricota,Caudoviricetes
696_0,3,0,refseq,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
698_0,4,0,refseq,Unassigned,Unassigned,Hubeivirus,Uroviricota,Caudoviricetes
699_0,2,0,refseq,Unassigned,Kyanoviridae,Greenvirus,Uroviricota,Caudoviricetes
699_1,46,0,refseq,Unassigned,Kyanoviridae,Lowelvirus,Uroviricota,Caudoviricetes
69_0,2,0,refseq,Unassigned,Unassigned,Sarumanvirus,Uroviricota,Caudoviricetes
6_0,44,0,refseq,Unassigned,Peduoviridae,Unclassified,Uroviricota,Caudoviricetes
700_0,2,0.5,both,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
702_0,2,0,refseq,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
705_0,62,0,refseq,Unassigned,Kyanoviridae,Nerrivikvirus,Uroviricota,Caudoviricetes
709_0,4,0,refseq,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
70_0,2,0,refseq,Unassigned,Unassigned,Yoloswagvirus,Uroviricota,Caudoviricetes
70_1,8,0,refseq,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
70_2,2,0,refseq,Unassigned,Unassigned,Sasquatchvirus,Uroviricota,Caudoviricetes
70_3,21,0,refseq,Unassigned,Unassigned,Alexandravirus,Uroviricota,Caudoviricetes
70_4,4,0,refseq,Unassigned,Unassigned,Salmondvirus,Uroviricota,Caudoviricetes
710_0,2,0,refseq,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
