Genome,ClstrComp,VC.Status,Phylum,Class,Order,Family,Genus,VC
Ettinger_c_000002323943,SG,Clustered,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,1076_0
Ettinger_c_000002339837,SG,Clustered,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,1073_0
Ettinger_c_000002380230,SG,Clustered,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,1082_0
Ettinger_c_000002383395,SG,Clustered,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,175_0
Ettinger_c_000002388025,SG,Clustered,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,1083_0
Ettinger_c_000002401007,SG,Clustered,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,997_0
Ettinger_c_000002423809,SG,Clustered,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,917_0
Ettinger_c_000002433283,SG,Clustered,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,917_0
Ettinger_c_000002474358,SG,Clustered,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,1027_0
Ettinger_c_000002508243,SG,Clustered,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,1085_0
Ettinger_c_000002565205,SG,Clustered,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,1084_0
Ettinger_c_000002595852,SG,Clustered,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,1087_0
Ettinger_c_000002599501,SG,Clustered,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,806_0
Ettinger_c_000002614552,SG,Clustered,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,917_0
Ettinger_c_000002630397,SG,Clustered,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,1002_0
Ettinger_c_000002635804,SG,Clustered,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,1071_0
Ettinger_c_000002639113,SG,Clustered,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,917_0
Ettinger_c_000002669373,SG,Clustered,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,1089_0
Ettinger_c_000002688985,SG,Clustered,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,1065_0
Ettinger_c_000002704483,SG,Clustered,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,926_0
Ettinger_c_000002753131,SG,Clustered,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,1007_0
Ettinger_c_000002764315,SG,Clustered,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,1090_0
Ettinger_c_000002775664,SG,Clustered,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,1066_0
Ettinger_c_000002775867,both,Clustered,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,1020_0
Ettinger_c_000002792840,SG,Clustered,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,1091_0
Ettinger_c_000002802777,SG,Clustered,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,1080_0
Ettinger_c_000002848494,SG,Clustered,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,986_0
Ettinger_c_000002851255,SG,Clustered,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,917_0
Ettinger_c_000002867124,SG,Clustered,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,1095_0
Ettinger_c_000002867900,both,Clustered,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,365_0
Ettinger_c_000002873686,SG,Clustered,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,1097_0
Ettinger_c_000002887137,SG,Clustered,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,966_0
Ettinger_c_000002890704,SG,Clustered,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,954_0
Ettinger_c_000002906638,SG,Clustered,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,1067_0
Ettinger_c_000002916433,SG,Clustered,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,1004_0
Ettinger_c_000002952918,SG,Clustered,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,994_0
Ettinger_c_000002982533,SG,Clustered,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,1032_0
Ettinger_c_000003000765,SG,Clustered,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,1099_0
Ettinger_c_000003011522,SG,Clustered,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,1057_0
Ettinger_c_000003021214,SG,Clustered,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,1101_0
Ettinger_c_000003049356,SG,Clustered,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,931_0
Ettinger_c_000003064593,SG,Clustered,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,1045_0
Ettinger_c_000003153969,SG,Clustered,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,994_0
Ettinger_c_000003177722,SG,Clustered,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,1006_0
Ettinger_c_000003264660,SG,Clustered,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,911_0
Ettinger_c_000003269451,SG,Clustered,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,1102_0
Ettinger_c_000003279711,SG,Clustered,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,960_0
Ettinger_c_000003280018,SG,Clustered,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,1103_0
Ettinger_c_000003319275,SG,Clustered,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,917_0
Ettinger_c_000003335104,SG,Clustered,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,1106_0
Ettinger_c_000003412247,SG,Clustered,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,1002_0
Ettinger_c_000003427243,SG,Clustered,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,1070_0
Ettinger_c_000003436657,SG,Clustered,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,974_0
Ettinger_c_000003438850,SG,Clustered,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,1058_0
Ettinger_c_000003466282,SG,Clustered,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,1082_0
Ettinger_c_000003494552,SG,Clustered,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,917_0
Ettinger_c_000003504915,SG,Clustered,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,917_0
Ettinger_c_000003525908,SG,Clustered,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,990_0
Ettinger_c_000003548220,SG,Clustered,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,938_0
Ettinger_c_000003559315,SG,Clustered,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,1103_0
Ettinger_c_000003572207,SG,Clustered,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,1107_0
Ettinger_c_000003582757,both,Clustered,Uroviricota,Caudoviricetes,Unassigned,Winoviridae,Peternellavirus,716_0
Ettinger_c_000003665954,SG,Clustered,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,1048_0
Ettinger_c_000003681118,SG,Clustered,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,1059_0
Ettinger_c_000003694400,SG,Clustered,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,1006_0
Ettinger_c_000003725772,SG,Clustered,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,1109_0
Ettinger_c_000003727387,SG,Clustered,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,1006_0
Ettinger_c_000003742639,SG,Clustered,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,1066_0
Ettinger_c_000003748832,SG,Clustered,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,1087_0
Ettinger_c_000003779792,SG,Clustered,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,1029_0
Ettinger_c_000003851184,both,Clustered,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,22_0
Ettinger_c_000003855722,SG,Clustered,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,1000_0
Ettinger_c_000003964353,SG,Clustered,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,1110_0
Ettinger_c_000003968409,SG,Clustered,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,933_0
